zoom_meeting,meeting_date,meeting_time, classname
"https://stisd-net.zoom.us/j/95420850048?pwd=eWU4Wk94QUhEams2em5HVjE4YkZIQT09#success",05-17-2021,9-28-00,Calculus 1
"https://stisd-net.zoom.us/j/97482598352?pwd=TjJleTYwcjh3cStxcEYxYUltV0VSdz09#success",05-19-2021,9-28-00,English V
"https://stisd-net.zoom.us/j/91383434085?pwd=TE1Jd3h3WGJDVjNNa1hKTjBWODU2UT09#success",05-17-2021,12-28-00,Computer Integrated Manufacturing
"https://stisd-net.zoom.us/j/87643032695?pwd=NnNWQTRaMVBva01STkg4cVhySnBPUT09#success",05-19-2021,12-28-00,United States Government
"https://stisd-net.zoom.us/j/91383434085?pwd=TE1Jd3h3WGJDVjNNa1hKTjBWODU2UT09#success",05-18-2021,9-28-00,Aerospace
"https://stisd-net.zoom.us/j/85972082518#success",05-20-2021,9-28-00,Computer Science
"https://stisd-net.zoom.us/j/8579205084?pwd=OTFVaEljbDU3NURjY0ljdlJuWndPZz09#success",05-18-2021,12-28-00,Physics 2
"https://stisd-net.zoom.us/j/91383434085?pwd=TE1Jd3h3WGJDVjNNa1hKTjBWODU2UT09#success",05-20-2021,12-28-00,Engineering Design Development


